alvo_retorno,horizonte_dias,accuracy,venda_precision,venda_recall,venda_f1,neutro_precision,neutro_recall,neutro_f1,compra_precision,compra_recall,compra_f1,macro_avg_f1,weighted_avg_f1,runtime_seconds
0.02,19,0.5051440329218106,0.4396887159533074,0.4829059829059829,0.46028513238289204,0.0,0.0,0.0,0.5704085680285601,0.5286764705882353,0.5487502385041023,0.3363451236289981,0.5065763657468166,40.6
0.02,20,0.505761316872428,0.4397007042253521,0.4723404255319149,0.4554365169819922,0.0,0.0,0.0,0.5674834694671335,0.5363970588235294,0.5515025515025515,0.33564635616151456,0.5068590891983237,40.4
0.03,3,0.610214504596527,0.20730117340286833,0.2484375,0.2260127931769723,0.7441021371079656,0.801255230125523,0.7716218160886459,0.28,0.1617161716171617,0.20502092050209206,0.4008851765892367,0.5950681922374408,21.1
0.03,4,0.5249488752556237,0.22210414452709884,0.24675324675324675,0.23378076062639822,0.6495127892813642,0.7521156558533145,0.6970588235294117,0.3383458646616541,0.1864125932062966,0.2403846153846154,0.3904080665134751,0.50409312035771,20.9
0.03,5,0.4621676891615542,0.25754716981132075,0.2650485436893204,0.261244019138756,0.5679809653297077,0.6902106567534076,0.6231586798433713,0.35585585585585583,0.21959694232105628,0.27159432746024925,0.3853323421474588,0.4434709081449937,20.8
0.03,6,0.42433537832310836,0.28654970760233917,0.2944206008583691,0.2904318374259102,0.5060150375939849,0.649927571221632,0.5690128936799831,0.3736689254598258,0.23337363966142685,0.2873092668403424,0.3822513326487453,0.407359574798846,33.8
0.03,7,0.3858751279426817,0.2887272727272727,0.3082298136645963,0.2981599699586932,0.4352287302265926,0.5735211267605633,0.4948954788526981,0.4013663535439795,0.2579582875960483,0.31406615436017377,0.36904053439052165,0.37557790164064947,46.2
0.03,8,0.37707267144319345,0.3182751540041068,0.33525594808940157,0.3265449438202247,0.3849074513526341,0.5297191378184193,0.44584936778449696,0.42976461655277143,0.28774783934926285,0.3447015834348356,0.37236529834651905,0.37124692605384607,40.0
0.03,9,0.36700819672131146,0.3188874514877102,0.33514615907545886,0.3268147166058999,0.3336724313326551,0.49961919268849964,0.40012198841110097,0.4692982456140351,0.3062977099236641,0.37066974595842955,0.3658688169918101,0.3653746734508038,21.0
0.03,10,0.35778688524590163,0.33312845728334356,0.3496774193548387,0.3412023921938936,0.2879120879120879,0.47079964061096136,0.3573133310603478,0.47452896022330776,0.3067207938655841,0.3726027397260274,0.3570394876600896,0.3591421556031362,22.4
0.03,11,0.35963114754098363,0.34679334916864607,0.36431690580162196,0.3553392150897475,0.24727272727272728,0.425,0.31264367816091954,0.4935316946959897,0.3293051359516616,0.39502976960911207,0.354337554286593,0.3657849731573075,21.5
0.03,12,0.3634871794871795,0.35324526134405515,0.36892621475704857,0.3609154929577465,0.21020408163265306,0.3819530284301607,0.2711715664765248,0.5096153846153846,0.35348061692371824,0.4174255476249077,0.349837535686393,0.37383134621378983,20.9
0.03,13,0.3682051282051282,0.36056644880174293,0.38443670150987225,0.37211916807195056,0.16947852760736196,0.3323308270676692,0.2244794311833418,0.5256484149855908,0.3665594855305466,0.43192043570921146,0.3428396783215013,0.38249970732335165,22.3
0.03,14,0.38809034907597534,0.37614185921547555,0.3968253968253968,0.38620689655172413,0.14599824098504838,0.30458715596330277,0.19738406658739596,0.5470085470085471,0.3998438110113237,0.46198962327994586,0.34852686213968864,0.40492786591936625,23.5
0.03,15,0.4016427104722793,0.3869772366331392,0.4070155902004454,0.3967435549525102,0.12512716174974567,0.2668112798264642,0.1703601108033241,0.5515515515515516,0.4217374665135859,0.4779874213836478,0.34836369571316067,0.4189052500719738,21.4
0.03,16,0.4106776180698152,0.3847343991748324,0.40765027322404374,0.395860971079862,0.10061349693251534,0.21188630490956073,0.13643926788685523,0.553875236294896,0.44176404070863173,0.49150765359614174,0.34126929752095303,0.4273505911168222,21.6
